"halalStatus","dataAiHint","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","longitude","approvedAt","rating","submittedAt","name","businessStatus","dataHashId","priceLevel","logoLink","openingHours","userRatingsTotal","latitude","state","address","googlePlaceId","id","websiteLink","socialInstagram","socialFacebook","socialTwitter","socialTiktok","socialWhatsapp"
"Not Specified","null","cafe","food","point of interest","establishment","","","","","101.0866827","null","4.7","null","+he Cursor","OPERATIONAL","hash_+he Cursor (Perak)","null","null","null","65","4.5995172","Perak","117, Jalan Raja Ekram, Kampung Jawa, 30300 Ipoh, Perak, Malaysia","ChIJQ5DoH8jtyjERHu8AmMeV2Y4","+he Cursor (Perak)","","","","","",""
"Not Specified","null","cafe","food","point of interest","store","establishment","","","","100.3645535","null","3.7","null","105°c coffeehaus","OPERATIONAL","hash_105°c coffeehaus (Kedah)","null","null","null","219","6.125127","Kedah","642, Jalan Pintu Sepuluh, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah, Malaysia","ChIJD2ljGkNFSzARhp4oWHUKVsM","105°c coffeehaus (Kedah)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","101.718023","null","3.4","null","108 Matcha Saro - The Exchange TRX","OPERATIONAL","hash_108 Matcha Saro - The Exchange TRX (Kuala Lumpur)","null","null","null","158","3.1426031","Kuala Lumpur","Lot C.OS.06, Level Concourse, The Exchange TRX, Persiaran TRX, Imbi, 55188 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","ChIJtzotfgA3zDERm3VzKnd1dB8","108 Matcha Saro - The Exchange TRX (Kuala Lumpur)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","101.718023","null","3.4","null","108 Matcha Saro - The Exchange TRX","OPERATIONAL","hash_108 Matcha Saro - The Exchange TRX (Selangor)","null","null","null","158","3.1426031","Selangor","Lot C.OS.06, Level Concourse, The Exchange TRX, Persiaran TRX, Imbi, 55188 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","ChIJtzotfgA3zDERm3VzKnd1dB8","108 Matcha Saro - The Exchange TRX (Selangor)","","","","","",""
"Not Specified","null","art gallery","cafe","restaurant","food","point of interest","store","establishment","","100.3644613","null","4.4","null","ART NATURE GALLERY CAFE","OPERATIONAL","hash_ART NATURE GALLERY CAFE (Kedah)","null","null","null","136","6.1168261","Kedah","Pekan Melayu, 46, Jalan Sultan Muhammad Jiwa, 05000 Alor Setar, Kedah, Malaysia","ChIJuV5Vrf9FSzAR46_AflJSVwM","ART NATURE GALLERY CAFE (Kedah)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","102.246182","null","4.3","null","Aaagain by Grounded 22","OPERATIONAL","hash_Aaagain by Grounded 22 (Malacca)","null","null","null","199","2.1980242","Malacca","No. 64, 64-1 & 64, 2, Jalan Tokong, Melaka Tengah, 75200 Melaka, Malaysia","ChIJ319JMXTx0TER4p0CHLnpYT0","Aaagain by Grounded 22 (Malacca)","","","","","",""
"Not Specified","null","cafe","store","food","point of interest","establishment","","","","100.1957047","null","4.7","null","Ahli Kopi Kangar","OPERATIONAL","hash_Ahli Kopi Kangar (Perlis)","null","null","null","89","6.4394773","Perlis","Jalan Penjara, Pusat Bandar Kangar, 01000 Kangar, Perlis, Malaysia","ChIJGUiRnbWZTDARbC9Y3ikjWhI","Ahli Kopi Kangar (Perlis)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","102.2502467","null","4.6","null","Alley No.5","OPERATIONAL","hash_Alley No5 (Malacca)","null","null","null","201","2.1970123","Malacca","18, Lorong Jambatan, Kampung Pantai, 75200 Melaka, Malaysia","ChIJV4p4s97x0TERraR60KXOPjE","Alley No5 (Malacca)","","","","","",""
"Not Specified","null","cafe","food","point of interest","store","establishment","","","","116.5906439","null","4.2","null","Anooh Coffee","OPERATIONAL","hash_Anooh Coffee (Sabah)","null","null","null","772","5.9795089","Sabah","KM3 Kundasang-Ranau road Kundasang, 89308 Ranau, Sabah, Malaysia","ChIJT3aQinKZOzIR4UqslihlQ1k","Anooh Coffee (Sabah)","","","","","",""
"Not Specified","null","cafe","food","point of interest","store","establishment","","","","101.8222432","null","4.8","null","Apacaba Coffee | Sepang Lukut","OPERATIONAL","hash_Apacaba Coffee | Sepang Lukut (Negeri Sembilan)","null","null","null","565","2.5921365","Negeri Sembilan","Lot 5823 mukim jimah Pekan lukut Lukut, 71010 Port Dickson, Negeri Sembilan, Malaysia","ChIJ7zcyUS_vzTERQcW7pLjjh6o","Apacaba Coffee | Sepang Lukut (Negeri Sembilan)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","102.2337215","null","4.2","null","Atas Cafe Kota Bharu","OPERATIONAL","hash_Atas Cafe Kota Bharu (Kelantan)","null","null","null","215","6.1147089","Kelantan","Pt 495-496 Lembah Sireh, 15050 Kota Bharu, Kelantan, Malaysia","ChIJuV1I4buvtjERR4p2B92Hsr4","Atas Cafe Kota Bharu (Kelantan)","","","","","",""
"Not Specified","null","point of interest","establishment","","","","","","","115.2430664","null","4.4","null","Ayoi Labuan","OPERATIONAL","hash_Ayoi Labuan (Labuan)","null","null","null","10","5.2779183","Labuan","U0211, Jalan Bahasa, Bandar Labuan, 87000 Labuan, Wilayah Persekutuan Labuan, Malaysia","ChIJF7sOwlIZIzIRBN-9Ilmf5uA","Ayoi Labuan (Labuan)","","","","","",""
"Not Specified","null","cafe","food","point of interest","store","establishment","","","","101.6740886","null","4.6","null","BASK.","OPERATIONAL","hash_BASK (Kuala Lumpur)","null","null","null","208","3.1242565","Kuala Lumpur","BASK Malaysia, APW, 29, Jalan Riong, Bangsar, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","ChIJh9ERe5NJzDERd7YxXR4cIXI","BASK (Kuala Lumpur)","","","","","",""
"Not Specified","null","cafe","store","food","point of interest","establishment","","","","100.1850877","null","4.2","null","BLOCK Caife","OPERATIONAL","hash_BLOCK Caife (Perlis)","null","null","null","143","6.4358074","Perlis","Jalan Pengkalan Asam, Kampung Pengkalan Asam, 01000 Kangar, Perlis, Malaysia","ChIJGeqmMgyZTDARF20Smtawt3Y","BLOCK Caife (Perlis)","","","","","",""
"Not Specified","null","cafe","food","point of interest","establishment","","","","","102.2290515","null","4.9","null","Baked.","OPERATIONAL","hash_Baked (Malacca)","null","null","null","2508","2.1981667","Malacca","19, Jalan KPKS 5-A Kompleks Perniagaan Al-azim Kota Syahbandar, 75200 Melaka, Malaysia","ChIJe-dnGhzx0TERyF7hjld7W4g","Baked (Malacca)","","","","","",""
